source_group,number_of_sources,total
AU-ANU:ADBO|AU-NSAL|AU-NUN:DAAO|AuCNLKIN,4,2
AU-ANL:MA|AU-SAUS,2,1
AU-VU|AU-YORCID|AuCNLKIN,3,3
AU-ANU:OA|AU-NAMC|AU-SAUS|AuCNLKIN,4,2
AU-NAMC|AU-VU:AWR,2,2
AU-NUWS|AU-SAUS,2,6
AU-ANU:ADBO|AU-APAR|AU-APAR:S|AU-NSAL|AuCNLKIN,5,1
AU-ANL:MA|AU-NAMC|AU-SAUS|AU-VASD|AuCNLKIN,5,1
AU-ANU:OA|AU-NSAL|AuCNLKIN,3,2
AU-NTSM|AU-VU:AWR|AU-YORCID|AuCNLKIN,4,1
AU-ANU|AU-YORCID,2,2
AU-ANU:ADBO|AU-SAUS|AU-VU|AU-VU:EOAS|AuCNLKIN,5,3
AU-ANU:ADBO|AU-VU|AU-VU:AWR,3,5
AU-NMQU|AuCNLKIN,2,3
AU-ANL:AD|AU-NMUS:CAN|AuCNLKIN,3,1
AU-APAR:S|AU-VU:EOAS,2,1
AU-ANU:ADBO|AU-ANU:OA|AU-SAUS|AU-VU:AWR|AuCNLKIN,5,2
OCLC-VIAF,1,1
AU-VPRO|AU-VU,2,2
AU-NSAL|AU-VU:AWR|AU-VU:EOAS,3,1
AU-ANU:OA|AU-VU|AuCNLKIN,3,6
AU-AIAS|AU-ANL:MA|AU-ANL:MA-DM|AuCNLKIN,4,1
AU-ANU:ADBO|AU-APAR|AU-VU:EOAS|AuCNLKIN,4,1
AU-APAR|AU-VU:EOAS|AuCNLKIN,3,4
AU-VU|AU-VU:EOAS|AU-WS:AUS|AuCNLKIN,4,1
AU-VPRO|AU-VU:AWR|AuCNLKIN,3,1
AU-ANL:MA|AU-NUN:DAAO|AU-VASD|AuCNLKIN,4,1
AU-AIAS|AU-NUN:DAAO|AU-VU:AWR|AuCNLKIN,4,7
AU-NMUS:CAN|AU-NUN:DAAO|AuCNLKIN,3,5
AU-ANL:MA|AU-SAUS|AuCNLKIN,3,9
AU-AIAS|AU-ANU:ADBO|AU-ANU:OA,3,1
AU-VANDS|AU-VPRO|AuCNLKIN,3,3
AU-ANL:MA|AU-ANU:ADBO,2,3
AU-ANL:AD|AU-ANU:ADBO|AU-ANU:OA|AU-NUN:DAAO|AuCNLKIN,5,1
AU-AIAS|AU-APC:WB|AuCNLKIN,3,6
AU-NMUS:CAN|AU-VANDS,2,1
AU-ANU:ADBO|AU-NUN:DAAO|AU-SAUS,3,6
AU-ANU:ADBO|AU-NUN:DAAO|AU-VU|AU-VU:EOAS|AuCNLKIN,5,2
AU-AIAS|AU-ANU:OA|AU-VU:AWR|AuCNLKIN,4,4
AU-ANL:AD|AU-ANL:MA|AU-ANU:ADBO|AU-SAUS|AuCNLKIN,5,1
AU-SFU:PDM|AU-WS:AUS,2,1
AU-APAR|AU-NSAL,2,2
AU-ANU:ADBO|AU-ANU:OA|AU-NUN:DAAO|AU-VU:AWR|AuCNLKIN,5,2
AU-NMUS:CAN|AU-VU:EOAS|AuCNLKIN,3,4
AU-AIAS|AU-ANU:ADBO|AU-ANU:OA|AU-VU:EOAS|AuCNLKIN,5,2
AU-ANU:ADBO|AU-ANU:OA|AU-APAR:S,3,5
AU-ANL:MA|AU-ANU:ADBO|AU-NAMC|AU-SAUS|AU-VU:AWR|AuCNLKIN,6,1
AU-APAR|AU-VU,2,1
AU-VAFI,1,6
AU-APAR|AU-NSAL|AuCNLKIN,3,2
AU-ANL:AD|AU-SAUS|AU-VU:AWR|AuCNLKIN,4,6
AU-ANU:ADBO|AU-VU|AU-VU:AWR|AU-VU:EOAS|AuCNLKIN,5,2
AU-NMUS:CAN|AU-SAUS|AU-VANDS|AU-VU:EOAS|AuCNLKIN,5,1
AU-ANU:OA|AU-QPRO|AU-SAUS|AuCNLKIN,4,1
AU-ANU:OA|AU-SAUS|AU-VU:AWR|AuCNLKIN,4,6
AU-ANL:MA-DM|AU-SAUS|AuCNLKIN,3,8
AU-ANU:ADBO|AU-APAR|AU-NSAL|AuCNLKIN,4,2
AU-QU|AU-VU:EOAS|AuCNLKIN,3,1
AU-ANU:ADBO|AU-NAMC|AU-SAUS|AuCNLKIN,4,2
AU-ANL:MA|AU-VU:AWR,2,1
AU-ANU:ADBO|AU-ANU:OA|AU-APAR|AU-APAR:S|AuCNLKIN,5,4
AU-ANU:ADBO|AU-ANU:OA|AU-VU:AWR|AU-VU:EOAS|AuCNLKIN,5,4
AU-QGU|AU-SAUS|AuCNLKIN,3,1
AU-NUN:DAAO|AU-VAFI|AU-YORCID,3,1
AU-AIAS|AU-ANU:OA|AU-SAUS|AuCNLKIN,4,1
AU-ANU:ADBO|AU-ANU:OA|AU-VU:AWR|AU-VU:EOAS,4,3
AU-AIAS|AU-ANU:OA|AU-NUN:DAAO|AU-SAUS|AU-VU:AWR|AuCNLKIN,6,1
AU-ANL:MA|AU-ANL:MA-DM,2,1
AU-ANU:ADBO|AU-NSAL|AU-NUN:DAAO,3,1
AU-ANL:AD|AU-NUN:DAAO|AU-SAUS|AuCNLKIN,4,3
AU-AIAS|AU-VU,2,2
AU-ANL:AD|AU-VU:AWR|AuCNLKIN,3,4
AU-ANL:MA|AU-NAMC|AuCNLKIN,3,4
AU-QGU|AU-VU:EOAS|AuCNLKIN,3,1
AU-APAR|AU-VU:AWR|AU-VU:EOAS,3,2
AU-AIAS|AU-ANU:ADBO|AU-ANU:OA|AU-VU|AU-VU:AWR|AU-VU:EOAS|AuCNLKIN,7,1
AU-SUSA|AU-VANDS|AU-VU:EOAS|AuCNLKIN,4,1
AU-VU|AU-VU:AWR|AU-VU:EOAS|AuCNLKIN,4,4
AU-ANL:AD|AU-ANU:ADBO|AU-NUN:DAAO|AU-SAUS|AuCNLKIN,5,1
AU-ANU:OA|AU-VU:EOAS|AU-YORCID,3,1
AU-NMUS:CAN|AU-VPRO|AuCNLKIN,3,2
AU-ANU:ADBO|AU-NUN:DAAO|AU-SAUS|AU-VU:AWR|AuCNLKIN,5,4
AU-ANL:AD|AU-ANU:ADBO|AU-VU:AWR|AuCNLKIN,4,2
AU-ANL:MA-DM|AU-NAMO|AU-SAUS|AuCNLKIN,4,3
AU-NMQU|AU-YORCID,2,6
AU-AIAS|AU-VDU|AuCNLKIN,3,2
AuCNLKIN|OCLC-BNE|OCLC-BNF|OCLC-DNB|OCLC-LC|OCLC-NKC|OCLC-NLA|OCLC-NUKAT|OCLC-PTBNP|OCLC-VIAF,10,1
AU-NMUS:CAN|AU-SUSA|AuCNLKIN,3,1
AU-NAMC|AU-VASD,2,2
AU-NWU|AU-VANDS|AU-VU:EOAS|AuCNLKIN,4,1
AU-NNCU|AU-YORCID|AuCNLKIN,3,4
AU-NUN:DAAO|AU-VU|AU-VU:EOAS|AuCNLKIN,4,1
AU-AIAS|AU-APC:WB,2,1
AU-AIAS|AU-ANU:ADBO|AU-SAUS,3,1
AU-AIAS|AU-NAMC|AU-NAMO|AuCNLKIN,4,1
AU-ANL:AD|AU-ANU:ADBO,2,1
AU-APAR|AU-APAR:S|AU-NSAL,3,1
OCLC-BNE|OCLC-LC|OCLC-VIAF,3,1
AU-ANU:ADBO|AU-ANU:OA|AU-QPRO|AuCNLKIN,4,1
AU-NAMC|AU-SAUS|AU-VASD|AuCNLKIN,4,2
AU-NMUS:CAN|AU-SAUS|AU-VU:EOAS|AuCNLKIN,4,1
AU-QU|AU-VANDS|AU-VU:EOAS|AuCNLKIN,4,1
AuCNLKIN|OCLC-BNE|OCLC-BNF|OCLC-DNB|OCLC-LC|OCLC-NKC|OCLC-NLA|OCLC-VIAF,8,1
AU-ANU:ADBO|AU-NSAL|AU-SAUS,3,1
AU-ANU:ADBO|AU-QU,2,1
AU-SUA|AU-YORCID|AuCNLKIN,3,2
AU-ANU,1,5
AU-AIAS|AU-SAUS|AU-VU:AWR|AuCNLKIN,4,7
AU-AIAS|AU-ANU:ADBO|AU-NUN:DAAO|AU-SAUS|AU-VU:EOAS|AuCNLKIN,6,1
AU-NAMC|AuCNLKIN|OCLC-VIAF,3,1
AU-VU:EOAS|AuCNLKIN|OCLC-BAV|OCLC-BNE|OCLC-BNF|OCLC-DNB|OCLC-EGAXA|OCLC-JPG|OCLC-LAC|OCLC-LC|OCLC-NKC|OCLC-NLA|OCLC-NLIlat|OCLC-NUKAT|OCLC-PTBNP|OCLC-RERO|OCLC-SELIBR|OCLC-SUDOC|OCLC-VIAF,19,1
AU-ANU:ADBO|AU-NUN:DAAO|AU-VU:EOAS|AuCNLKIN|OCLC-BNF|OCLC-DNB|OCLC-LC|OCLC-NLA|OCLC-VIAF,9,1
AU-ANU:ADBO|AU-APAR|AU-NSAL,3,2
AU-ANU:ADBO|AU-ANU:OA|AU-SAUS,3,4
AU-ANL:MA|AU-ANU:ADBO|AU-NUN:DAAO|AU-SAUS|AuCNLKIN,5,2
AU-AIAS|AU-ANL:MA|AU-ANU:ADBO|AU-VU:AWR|AuCNLKIN,5,1
AU-ANU:OA|AU-APAR|AU-VU:AWR|AuCNLKIN,4,2
AU-ANU:ADBO|AuCNLKIN|OCLC-JPG|OCLC-LC|OCLC-NLA|OCLC-VIAF,6,1
AU-AIAS|AU-ANL:AD|AU-SAUS|AuCNLKIN,4,2
AU-AIAS|AU-ANL:MA|AU-NAMO|AuCNLKIN,4,1
AU-WU|AU-YORCID|AuCNLKIN,3,4
AU-APAR|AU-VU:AWR|AU-VU:EOAS|AuCNLKIN,4,2
AU-NMUS:CAN|AU-NUWS,2,1
AU-AIAS|AU-VU:AWR|AU-VU:EOAS|AuCNLKIN,4,1
AU-AIAS|AU-ANL:AD|AuCNLKIN,3,1
AU-APAR|AU-VU|AuCNLKIN,3,4
AU-NAMC|AU-YORCID,2,1
AU-ANU:ADBO|AU-NUN:DAAO|AU-VU,3,3
AU-ANU:OA|AU-VU,2,3
AU-AIAS|AU-ANU:ADBO|AU-VU:AWR,3,2
AU-AIAS|AU-ANL:MA|AU-ANL:MA-DM|AU-SAUS|AuCNLKIN,5,1
AU-ANL:MA|AU-ANL:MA-DM|AU-NAMO|AuCNLKIN,4,2
AU-ANU:ADBO|AU-ANU:OA|AU-APAR:S|AuCNLKIN,4,2
AU-NSAL|AU-NUN:DAAO,2,1
AU-ANL:MA|AU-ANU:ADBO|AU-NAMC|AU-SAUS|AuCNLKIN,5,1
AU-NMUS:CAN|AU-VU,2,2
AU-ANU:OA|AU-SAUS|AU-VU:EOAS|AuCNLKIN,4,1
AU-NMUS:CAN|AU-VLU|AU-VPRO|AuCNLKIN,4,1
AU-NMUS:CAN|AU-VANDS|AU-VU:EOAS|AuCNLKIN,4,3
AU-QUT|AU-QUT:GP|AuCNLKIN,3,2
AU-NAMC|AU-NUN:DAAO|AU-VASD|AuCNLKIN,4,1
AU-ANL:MA|AU-NUN:DAAO|AuCNLKIN,3,1
AU-NAMC|AU-NUN:DAAO,2,4
AU-VU:AWR|AU-YORCID,2,2
AU-NAMO|AU-NUN:DAAO,2,1
AU-SAUS|AU-VANDS|AU-VU:EOAS|AuCNLKIN,4,3
AU-AIAS|AU-ANU:ADBO|AU-NUN:DAAO|AU-SAUS|AuCNLKIN,5,1
AU-AIAS|AU-APAR|AU-APAR:S|AuCNLKIN,4,1
AU-VU:AWR|AU-VU:EOAS|AU-YORCID|AuCNLKIN,4,2
AU-ANU:ADBO|AU-ANU:OA|AU-VU|AU-VU:EOAS,4,2
AU-AIAS|AU-ANU:ADBO|AU-APAR|AuCNLKIN,4,2
AU-NAMC|AU-NUN:DAAO|AuCNLKIN,3,4
AU-ANU:ADBO|AU-APAR|AU-QUT|AuCNLKIN,4,1
AU-ANU:ADBO|AU-APAR|AU-APAR:S|AU-VU,4,1
AU-NAMC|AU-NAMO|AuCNLKIN,3,1
AU-AIAS|AU-VPRO|AuCNLKIN,3,1
AU-ANU:ADBO|AU-ANU:OA|AU-NUN:DAAO|AU-VU,4,1
AU-AIAS|AU-SAUS|AU-YORCID|AuCNLKIN,4,2
AU-VU:EOAS|OCLC-VIAF,2,1
AU-ANL:PO|AuCNLKIN,2,1
AU-ANU:ADBO|AU-NUN:DAAO|AU-SAUS|AU-VU:EOAS|AuCNLKIN,5,5
AU-VANDS|AU-VU|AuCNLKIN,3,1
OCLC-DNB|OCLC-LC|OCLC-RERO|OCLC-VIAF,4,1
OCLC-DNB|OCLC-LAC|OCLC-LC|OCLC-VIAF,4,1
AU-NUN:DAAO|AU-QPRO|AuCNLKIN,3,2
AU-ANU:ADBO|AU-ANU:OA|AU-APAR|AU-APAR:S,4,1
AU-NNCU|AuCNLKIN,2,3
AU-AIAS|AU-NAMC|AuCNLKIN,3,2
AU-VSWT|AU-YORCID|AuCNLKIN,3,1
AU-ANL:AD|AU-NUN:DAAO,2,2
AU-AIAS|AU-ANU:OA,2,1
AU-ANU:ADBO|AU-TU,2,1
AU-NWU|AU-VANDS|AuCNLKIN,3,2
AU-ANL:AD|AU-ANU:OA|AU-SAUS|AU-VU:AWR|AU-VU:EOAS|AuCNLKIN,6,1
AU-ANU:ADBO|AU-NUN:DAAO|AU-VU|AU-VU:EOAS,4,1
AU-ANU:ADBO|AU-APAR|AU-VU:AWR|AuCNLKIN,4,2
AU-ANU:OA|AU-NUN:DAAO|AU-VU:AWR,3,2
AU-ANU:OA|AU-QPRO|AuCNLKIN,3,1
AU-ANL:AD|AU-ANU:ADBO|AU-NUN:DAAO|AU-SAUS,4,1
AU-AIAS|AU-ANU:ADBO|AU-VU:EOAS|AuCNLKIN,4,3
AU-ANU:ADBO|AU-QPRO|AU-VU:EOAS|AuCNLKIN,4,1
AU-ANL:MA|AU-ANU:OA|AU-SAUS|AuCNLKIN,4,2
AU-AIAS|AU-WU|AU-YORCID|AuCNLKIN,4,1
AU-SAUS|AU-VU:EOAS,2,2
AU-VASD|AuCNLKIN,2,3
AU-ANU:ADBO|AU-APAR|AU-APAR:S|AU-VU:EOAS,4,1
AU-ANU:ADBO|AU-ANU:OA|AU-NUN:DAAO|AU-VU:AWR,4,2
AU-ANL:MA|AU-ANU:ADBO|AU-SAUS|AU-VU:AWR|AuCNLKIN,5,1
AU-ANU:ADBO|AU-VU|AU-VU:AWR|AU-VU:EOAS,4,2
AU-AIAS|AU-ANL:MA|AU-ANU:ADBO|AuCNLKIN,4,1
AU-AIAS|AU-ANU:OA|AU-APAR|AU-APAR:S|AuCNLKIN,5,1
AU-SAUS|AU-SFU:PDM|AuCNLKIN,3,1
AU-ANL:MA|AU-ANL:MA-DM|AU-ANU:ADBO|AU-SAUS|AuCNLKIN,5,1
AU-ANU:ADBO|AU-APAR|AU-SAUS,3,1
AU-AIAS|AU-QPRO,2,1
AU-ANU:ADBO|AU-ANU:OA|AU-VU|AU-VU:AWR|AU-VU:EOAS,5,1
AU-SFU:PDM|AU-VU:EOAS|AuCNLKIN,3,1
AU-NWU|AU-VU:EOAS|AuCNLKIN,3,1
AU-ANL:MA|AU-ANU:ADBO|AU-ANU:OA|AU-SAUS,4,1
AU-ANL:MA|AU-VU:AWR|AuCNLKIN,3,1
AU-ANL:AD|AU-NUN:DAAO|AuCNLKIN,3,1
TO-DO,1,2
AU-NMUS:CAN|AU-NUN:DAAO|AU-VANDS|AU-VU:EOAS|AuCNLKIN,5,1
AU-NAMC|AU-VU:AWR|AuCNLKIN,3,2
AU-AIAS|AU-APAR:S|AuCNLKIN,3,1
AU-APAR|AU-APAR:S|AU-VU:AWR,3,1
AuCNLKIN|OCLC-NLA|OCLC-VIAF:TEST,3,1
AU-AIAS|AU-NSAL|AuCNLKIN,3,1
AU-NSAL|AU-VU:EOAS|AuCNLKIN,3,1
AU-AIAS|AU-ANU:ADBO|AU-ANU:OA|AU-NUN:DAAO|AuCNLKIN,5,1
AU-APAR|AU-SAUS|AU-VU:AWR|AuCNLKIN,4,1
AU-ANL:AD|AU-SAUS|AU-YORCID,3,1
AU-ANL:MA|AU-ANU:ADBO|AU-ANU:OA|AuCNLKIN,4,1
AU-AMG|AU-VPRO|AuCNLKIN,3,2
AU-AIAS|AU-QJCU|AU-SAUS|AuCNLKIN,4,1
AU-ANL:MA|AU-ANL:MA-DM|AU-SAUS|AuCNLKIN,4,1
AU-NTSM|AU-SAUS,2,1
AU-APAR|AU-YORCID|AuCNLKIN,3,2
AU-ANL:MA|AU-ANL:MA-DM|AU-NAMO|AU-SAUS|AuCNLKIN,5,1
AU-SAUS|AU-VASD|AuCNLKIN,3,1
AuCNLKIN|OCLC-DNB|OCLC-LC|OCLC-NLA|OCLC-VIAF:TEST,5,1
AU-ANU:ADBO|AU-ANU:OA|AU-NUN:DAAO|AU-VU:EOAS,4,1
AU-ANL:MA|AU-ANU:ADBO|AU-SAUS|AU-VU:AWR,4,1
AU-ANU:ADBO|AU-APAR:S|AU-VU:AWR,3,2
AU-AIAS|AU-SFU:PDM|AU-YORCID|AuCNLKIN,4,1
AU-ANL:AD|AU-ANU:ADBO|AuCNLKIN,3,2
AU-ANU:ADBO|AU-APAR|AU-APAR:S|AU-VU:AWR|AuCNLKIN,5,1
AU-ANU:ADBO|AU-APC:WB,2,1
AU-NAMC|AU-WU|AuCNLKIN,3,1
AU-VANDS|AU-VU:AWR|AuCNLKIN,3,1
AuCNLKIN|OCLC-BNF|OCLC-NLA|OCLC-VIAF,4,1
AU-ANU:ADBO|AU-ANU:OA|AU-APAR|AU-NUN:DAAO|AuCNLKIN,5,1
AuCNLKIN|OCLC-BNE|OCLC-BNF|OCLC-DNB|OCLC-LC|OCLC-NKC|OCLC-NLA|OCLC-NLIlat|OCLC-NUKAT|OCLC-VIAF,10,1
AU-ANL:MA|AU-NAMC|AU-VU:AWR|AuCNLKIN,4,1
AU-AIAS|AU-NAMO|AuCNLKIN,3,1
AU-NAMC|AU-SAUS|AU-VU:AWR|AuCNLKIN,4,1
AU-AIAS|AU-ANU:OA|AU-APAR:S|AuCNLKIN,4,1
AU-NUN:DAAO|AU-VU:AWR|AU-VU:EOAS,3,1
AU-AIAS|AU-ANU:ADBO|AU-ANU:OA|AU-SAUS|AuCNLKIN,5,1
AU-VU:EOAS|AU-WU,2,1
AU-NMUS:CAN|AU-VU|AuCNLKIN,3,2
AU-WS:AUS|AU-YORCID,2,1
AU-ANU:OA|AU-APAR|AU-APAR:S|AU-YORCID|AuCNLKIN,5,1
AU-AIAS|AU-ANL:MA|AU-ANU:ADBO|AU-SAUS|AuCNLKIN,5,1
AU-NUN:DAAO|AU-TU|AuCNLKIN,3,1
AU-AIAS|AU-APAR|AU-SAUS|AuCNLKIN,4,1
AU-NMUS:CAN|AU-VPRO|AU-VU:EOAS|AuCNLKIN,4,1
AU-APAR|AU-YORCID,2,1
AU-NUN:DAAO|AU-QUT|AU-QUT:GP|AU-VASD|AU-YORCID|AuCNLKIN,6,1
AU-VASD|AU-YORCID|AuCNLKIN,3,1
AU-ANL:AD|AU-ANL:MA|AU-NAMC|AuCNLKIN,4,1
AU-APAR|AU-APAR:S|AU-YORCID|AuCNLKIN,4,1
AU-ANL:PEAU|AU-ANL:PO|AuCNLKIN,3,1
AU-VU:EOAS|AuCNLKIN|OCLC-NLA|OCLC-VIAF,4,1
AU-QUT:GP|AU-SAUS|AU-YORCID|AuCNLKIN,4,1
AU-VU|AU-VU:EOAS|AU-YORCID|AuCNLKIN,4,1
AU-VANDS|AU-VU|AU-VU:EOAS|AuCNLKIN,4,2
AU-SAUS|AU-SFU:PDM,2,1
AU-NAMC|AU-QGU|AuCNLKIN,3,1
AU-NMUS:CAN|AU-NUN:DAAO|AU-VANDS|AuCNLKIN,4,1
AU-QJCU|AU-WS:AUS|AuCNLKIN,3,1
AU-AIAS|AU-ANL:MA|AU-VU:AWR|AuCNLKIN,4,1
AU-SAUS|AU-VU:AWR|AU-VU:EOAS|AuCNLKIN,4,1
AU-APAR|AU-NUN:DAAO|AuCNLKIN,3,1
AU-ANU:ADBO|AU-NAMC|AU-SAUS|AU-VU:AWR|AuCNLKIN,5,1
OCLC-EGAXA|OCLC-NLIara|OCLC-VIAF,3,1
AU-NUN:DAAO|AU-VU|AU-VU:AWR|AuCNLKIN,4,1
AU-NU|AU-VU:EOAS,2,1
AU-SAUS|AU-VU|AU-VU:AWR|AuCNLKIN,4,1
AU-ANU:ADBO|AU-APAR|AU-VU:AWR,3,1
AU-NUN:DAAO|AU-NUWS|AU-SAUS|AU-VASD|AuCNLKIN,5,1
AU-NUNE|AU-YORCID|AuCNLKIN,3,1
AU-SUA|AuCNLKIN,2,2
AU-ANL:MA|AU-NAMC,2,1
AU-AIAS|AU-ANL:MA|AU-NAMO|AU-SAUS|AuCNLKIN,5,1
AU-VU|AU-VU:AWR|AU-VU:EOAS,3,1
AU-AIAS|AU-NUN:DAAO|AU-VU:EOAS|AuCNLKIN,4,1
OCLC-BNF|OCLC-VIAF,2,1
AU-NUWS|AU-VASD|AU-YORCID|AuCNLKIN,4,1
AU-ANU:ADBO|AU-NUN:DAAO|AU-VU|AU-VU:AWR|AU-VU:EOAS,5,1
AU-ANL:MA|AU-ANU:ADBO|AU-ANU:OA|AU-SAUS|AuCNLKIN,5,1
AU-NMUS:CAN|AU-SAUS|AU-VPRO|AuCNLKIN|OCLC-BNF|OCLC-JPG|OCLC-LC|OCLC-NLA|OCLC-VIAF:TEST,9,1
AU-ANL:AD|AU-ANU:ADBO|AU-SAUS|AU-VU:AWR,4,1
